Timestamp,UserID,Event Name,UUID,Param/WallsDestroyed,Param/EnvelopesCollected,Param/BulletsFired,Param/PowerupsCollected,Param/Score,Param/FirstKeypressFire,Param/FirstBulletPickupCollected,Param/FirstMovementDetected,Param/TimeOfDeath
28/11/2023 14:48:34,johnchan,Player_Stats,f04b1001941164bc6c6a1d0beabae8d7,0,12,0,2,120,0,32.3527527,16.90203,0
28/11/2023 14:49:09,johnchan,Player_Stats,8b7d99c5090b8a998cf66efb40cf4535,0,4,1,1,40,95.13964,90.5201645,74.67026,0
28/11/2023 14:50:10,johnchan,Player_Stats,c9e01fd27651920d8682e4a5f03daf06,6,11,35,3,180,120.338257,119.703743,103.70433,0
28/11/2023 14:55:02,Keelan,Player_Stats,073b2820f44125310e60c208a3e9e8b6,0,8,0,1,80,0,49.6167641,16.5494385,0
28/11/2023 14:55:17,Keelan,Player_Stats,d2fb9f295fee7d43aea5bc7fb6f38674,0,2,0,0,20,0,0,60.6665421,0
28/11/2023 14:55:54,Keelan,Player_Stats,9f69093846ae6e1a2223e94b7f27551b,0,9,0,1,90,0,107.067558,75.31731,0
28/11/2023 14:56:02,Keelan,Player_Stats,f3b794eb87cbd16c9b03cf262573d9fc,0,0,0,0,0,0,0,115.584557,0
28/11/2023 14:56:13,Keelan,Player_Stats,0284dc4ddd4a065f034e245885e12e94,0,2,0,0,20,0,0,122.567894,0
28/11/2023 14:57:52,Keelan,Player_Stats,6bcbf1a858c27ed42d4976d9558cdfcd,5,19,5,5,215,151.937576,148.3352,132.13504,0
28/11/2023 15:23:27,Jack,Player_Stats,cdbecdb2e93f2f37255d855594146d7d,0,0,0,0,0,0,0,10.9902964,0
28/11/2023 15:23:43,Jack,Player_Stats,e08b56c069a188bcb3e4e747226dfc42,0,2,0,0,20,0,0,15.84041,0
28/11/2023 15:24:02,Jack,Player_Stats,53e8c585f46c1f671c8968e59e39d636,0,3,0,1,30,0,47.97469,31.3575382,0
28/11/2023 15:24:55,Jack,Player_Stats,bef41275fc83fd1f1a390f908e40b7a5,6,10,40,3,170,68.45867,67.6243744,51.30785,0
28/11/2023 15:25:47,Jack,Player_Stats,3ec4aa7cff8fc91f40763d29711e62e9,9,10,42,2,185,124.310509,123.30899,106.87513,0
28/11/2023 15:30:44,michael,Player_Stats,f52f750e471b6fab8e9162a104be8639,0,4,0,1,40,0,54.32346,38.90708,0
28/11/2023 15:32:57,michael,Player_Stats,9ad9ac2765d2541a8820d93458f91929,20,30,29,7,440,81.54309,78.37384,61.55751,0
